pod_name,timestamp,total,active,idle,gc_candidates,zombie
active-4,20250918_215616,1,1,0,0,0
active-40,20250918_215616,1,1,0,0,0
active-41,20250918_215617,1,1,0,0,0
active-42,20250918_215617,1,1,0,0,0
active-43,20250918_215618,1,1,0,0,0
active-44,20250918_215618,1,1,0,0,0
active-45,20250918_215618,1,1,0,0,0
active-46,20250918_215619,1,1,0,0,0
active-47,20250918_215620,1,1,0,0,0
active-48,20250918_215620,1,1,0,0,0
active-49,20250918_215620,1,1,0,0,0
active-5,20250918_215621,1,1,0,0,0
active-50,20250918_215621,1,1,0,0,0
active-51,20250918_215621,1,1,0,0,0
active-52,20250918_215622,1,1,0,0,0
active-53,20250918_215622,1,1,0,0,0
active-54,20250918_215622,1,1,0,0,0
active-55,20250918_215623,1,1,0,0,0
active-56,20250918_215624,1,1,0,0,0
active-57,20250918_215624,1,1,0,0,0
active-58,20250918_215624,1,1,0,0,0
active-59,20250918_215624,1,1,0,0,0
active-6,20250918_215625,1,1,0,0,0
active-60,20250918_215626,1,1,0,0,0
active-61,20250918_215626,1,1,0,0,0
active-7,20250918_215627,1,1,0,0,0
active-8,20250918_215627,1,1,0,0,0
active-9,20250918_215628,1,1,0,0,0
idle-0,20250918_215628,1,0,1,0,0
idle-1,20250918_215628,1,0,1,0,0
idle-10,20250918_215629,1,0,1,0,0
idle-11,20250918_215629,1,0,1,0,0
idle-12,20250918_215629,1,0,1,0,0
idle-13,20250918_215629,1,0,1,0,0
idle-14,20250918_215629,1,0,1,0,0
idle-15,20250918_215630,1,0,1,0,0
idle-16,20250918_215630,1,0,1,0,0
idle-17,20250918_215630,1,0,1,0,0
idle-18,20250918_215631,1,0,1,0,0
idle-19,20250918_215631,1,0,1,0,0
idle-2,20250918_215631,1,0,1,0,0
idle-20,20250918_215631,1,0,1,0,0
idle-21,20250918_215631,1,0,1,0,0
idle-22,20250918_215632,1,1,0,0,0
idle-23,20250918_215632,1,0,1,0,0
idle-24,20250918_215632,1,0,1,0,0
idle-25,20250918_215632,1,0,1,0,0
idle-26,20250918_215633,1,0,1,0,0
idle-27,20250918_215633,1,0,1,0,0
idle-28,20250918_215633,1,0,1,0,0
idle-29,20250918_215633,1,0,1,0,0
idle-3,20250918_215633,1,0,1,0,0
idle-30,20250918_215633,1,0,1,0,0
idle-31,20250918_215634,1,0,1,0,0
idle-32,20250918_215634,1,0,1,0,0
idle-33,20250918_215634,1,0,1,0,0
idle-34,20250918_215634,1,0,1,0,0
idle-35,20250918_215634,1,0,1,0,0
idle-36,20250918_215635,1,0,1,0,0
idle-37,20250918_215635,1,0,1,0,0
idle-4,20250918_215635,1,0,1,0,0
idle-5,20250918_215635,1,0,1,0,0
idle-6,20250918_215636,1,0,1,0,0
idle-7,20250918_215636,1,0,1,0,0
idle-8,20250918_215636,1,0,1,0,0
idle-9,20250918_215637,1,0,1,0,0
active-0,20250918_215738,1,1,0,0,0
active-1,20250918_215738,1,1,0,0,0
active-10,20250918_215739,1,1,0,0,0
active-11,20250918_215739,1,1,0,0,0
active-12,20250918_215740,1,1,0,0,0
active-13,20250918_215740,1,1,0,0,0
active-14,20250918_215740,1,1,0,0,0
active-15,20250918_215741,1,1,0,0,0
active-16,20250918_215741,1,1,0,0,0
active-17,20250918_215742,1,1,0,0,0
active-18,20250918_215743,1,1,0,0,0
active-19,20250918_215744,1,1,0,0,0
active-2,20250918_215744,1,1,0,0,0
active-20,20250918_215745,1,1,0,0,0
active-21,20250918_215745,1,1,0,0,0
active-22,20250918_215745,1,1,0,0,0
active-23,20250918_215745,1,1,0,0,0
active-24,20250918_215746,1,1,0,0,0
active-25,20250918_215746,1,1,0,0,0
active-26,20250918_215746,1,1,0,0,0
active-27,20250918_215746,1,1,0,0,0
active-28,20250918_215747,1,1,0,0,0
active-29,20250918_215747,1,1,0,0,0
active-3,20250918_215748,1,1,0,0,0
active-30,20250918_215748,1,1,0,0,0
active-31,20250918_215748,1,1,0,0,0
active-32,20250918_215748,1,1,0,0,0
active-33,20250918_215750,1,1,0,0,0
active-34,20250918_215751,1,1,0,0,0
active-35,20250918_215751,1,1,0,0,0
active-36,20250918_215751,1,1,0,0,0
active-37,20250918_215751,1,1,0,0,0
active-38,20250918_215752,1,1,0,0,0
active-39,20250918_215752,1,1,0,0,0
active-4,20250918_215753,1,1,0,0,0
active-40,20250918_215753,1,1,0,0,0
active-41,20250918_215754,1,1,0,0,0
active-42,20250918_215754,1,1,0,0,0
active-43,20250918_215755,1,1,0,0,0
active-44,20250918_215755,1,1,0,0,0
active-45,20250918_215755,1,1,0,0,0
active-46,20250918_215756,1,1,0,0,0
active-47,20250918_215756,1,1,0,0,0
active-48,20250918_215758,1,1,0,0,0
active-49,20250918_215758,1,1,0,0,0
active-5,20250918_215758,1,1,0,0,0
active-50,20250918_215759,1,1,0,0,0
active-51,20250918_215759,1,1,0,0,0
active-52,20250918_215800,1,1,0,0,0
active-53,20250918_215800,1,1,0,0,0
active-54,20250918_215800,1,1,0,0,0
active-55,20250918_215801,1,1,0,0,0
active-56,20250918_215801,1,1,0,0,0
active-57,20250918_215802,1,1,0,0,0
active-58,20250918_215802,1,1,0,0,0
active-59,20250918_215802,1,1,0,0,0
active-6,20250918_215803,1,1,0,0,0
active-60,20250918_215804,1,1,0,0,0
active-61,20250918_215804,1,1,0,0,0
active-7,20250918_215805,1,1,0,0,0
active-8,20250918_215806,1,1,0,0,0
active-9,20250918_215806,1,1,0,0,0
idle-0,20250918_215807,1,0,1,0,0
idle-1,20250918_215807,1,0,1,0,0
idle-10,20250918_215807,1,1,0,0,0
idle-11,20250918_215808,1,1,0,0,0
idle-12,20250918_215808,1,0,1,0,0
idle-13,20250918_215808,1,0,1,0,0
idle-14,20250918_215808,1,1,0,0,0
idle-15,20250918_215809,1,0,1,0,0
idle-16,20250918_215809,1,0,1,0,0
idle-17,20250918_215810,1,0,1,0,0
idle-18,20250918_215810,1,1,0,0,0
idle-19,20250918_215810,1,0,1,0,0
idle-2,20250918_215811,1,0,1,0,0
idle-20,20250918_215811,1,1,0,0,0
idle-21,20250918_215811,1,0,1,0,0
idle-22,20250918_215811,1,0,1,0,0
idle-23,20250918_215811,1,0,1,0,0
idle-24,20250918_215812,1,0,1,0,0
idle-25,20250918_215812,1,0,1,0,0
idle-26,20250918_215812,1,0,1,0,0
idle-27,20250918_215812,1,0,1,0,0
idle-28,20250918_215812,1,1,0,0,0
idle-29,20250918_215813,1,0,1,0,0
idle-3,20250918_215813,1,0,1,0,0
idle-30,20250918_215813,1,0,1,0,0
idle-31,20250918_215813,1,0,1,0,0
idle-32,20250918_215813,1,1,0,0,0
idle-33,20250918_215814,1,0,1,0,0
idle-34,20250918_215814,1,1,0,0,0
idle-35,20250918_215814,1,0,1,0,0
idle-36,20250918_215814,1,1,0,0,0
idle-37,20250918_215814,1,0,1,0,0
idle-4,20250918_215815,1,0,1,0,0
idle-5,20250918_215815,1,0,1,0,0
idle-6,20250918_215815,1,0,1,0,0
idle-7,20250918_215816,1,0,1,0,0
idle-8,20250918_215816,1,0,1,0,0
idle-9,20250918_215816,1,0,1,0,0
active-0,20250918_215917,1,1,0,0,0
active-1,20250918_215917,1,1,0,0,0
