pod_name,,pid,comm,cpu_activity
active-21,3,8,python,0.0239720437173427
active-21,4,8,python,
active-21,5,8,python,0.0262730660457338
active-21,6,8,python,0.0233752062274099
active-21,7,8,python,
active-21,8,8,python,0.023929549814658
active-21,9,8,python,0.0228530754683806
active-22,0,8,python,
active-22,1,8,python,0.0009658100778546
active-22,2,8,python,0.0010407143937987
active-22,3,8,python,0.0009784699194084
active-22,4,8,python,0.0009212119529591
active-22,5,8,python,0.0010000406400983
active-22,6,8,python,0.0009146585477547
active-22,7,8,python,0.0010152529562911
active-22,8,8,python,0.0010183543835203
active-22,9,8,python,0.0009278617050715
active-23,0,8,python,
active-23,1,8,python,
active-23,2,8,python,0.0729469364579487
active-23,3,8,python,
active-23,4,8,python,0.075851170819606
active-23,5,8,python,0.0716669812162056
active-23,6,8,python,
active-23,7,8,python,
active-23,8,8,python,0.0741334255991292
active-23,9,8,python,
active-24,0,8,python,
active-24,1,8,python,
active-24,2,8,python,
active-24,3,8,python,
active-24,4,8,python,
active-24,5,8,python,0.0755789640933974
active-24,6,8,python,
active-24,7,8,python,
active-24,8,8,python,
active-24,9,8,python,
active-25,0,8,python,
active-25,1,8,python,0.0009657949350651
active-25,2,8,python,0.0009542204947042
active-25,3,8,python,0.0010720882774565
active-25,4,8,python,0.0008222734437312
active-25,5,8,python,0.0009054368622136
active-25,6,8,python,0.0009027476622632
active-25,7,8,python,0.0010151461633246
active-25,8,8,python,0.0009231318895914
active-25,9,8,python,0.0009222432466519
active-26,0,8,python,
active-26,1,8,python,0.0007894696522493
active-26,2,8,python,0.0015268026124451
active-26,3,8,python,0.000778261006682
active-26,4,8,python,0.0008247068774887
active-26,5,8,python,0.0011055964032988
active-26,6,8,python,0.0008048042641403
active-26,7,8,python,0.0007085075214164
active-26,8,8,python,0.000820561031488
active-26,9,8,python,0.0009221607552387
active-27,0,8,python,
active-27,1,8,python,
active-27,2,8,python,
active-27,3,8,python,0.0718727965423344
active-27,4,8,python,
active-27,5,8,python,0.0708573120529365
active-27,6,8,python,
active-27,7,8,python,0.0713989903029577
active-27,8,8,python,
active-27,9,8,python,
active-28,0,8,python,
active-28,1,8,python,0.0009615335351227
active-28,2,8,python,0.0009560865858522
active-28,3,8,python,0.0010752682137592
active-28,4,8,python,0.0008205639571958
active-28,5,8,python,0.0010050578759113
active-28,6,8,python,0.0010069791392885
active-28,7,8,python,0.0010142740601686
active-28,8,8,python,0.0010267214837124
active-28,9,8,python,0.0010193498236594
active-29,0,7,python,
active-29,1,7,python,0.0007881154721151
active-29,2,7,python,0.0006685886121997
active-29,3,7,python,0.0007827769873629
active-29,4,7,python,0.000615421744335
active-29,5,7,python,0.0008024245507395
active-29,6,7,python,0.0008072876799446
active-29,7,7,python,0.0007099655142042
active-29,8,7,python,0.0007186639416073
active-29,9,7,python,0.000815539694187
active-3,0,8,python,
active-3,1,8,python,0.069305281056959
active-3,2,8,python,0.071446229656976
active-3,3,8,python,
active-3,4,8,python,
active-3,5,8,python,
active-3,6,8,python,
active-3,7,8,python,
active-3,8,8,python,
active-3,9,8,python,0.0698068951760339
active-30,0,8,python,
active-30,1,8,python,
active-30,2,8,python,
active-30,3,8,python,0.0385498628713936
active-30,4,8,python,0.0366068658557776
active-30,5,8,python,
active-30,6,8,python,0.0383452708457411
active-30,7,8,python,0.0390092403472021
active-30,8,8,python,0.0388867969056532
active-30,9,8,python,0.0400026721293976
active-31,0,8,python,
active-31,1,8,python,0.0010563746395601
active-31,2,8,python,0.0009533294634386
active-31,3,8,python,0.0009823257716523
active-31,4,8,python,0.0010193209311964
active-31,5,8,python,0.000901863386927
active-31,6,8,python,0.0010090367948141
active-31,7,8,python,0.0009156853122529
active-31,8,8,python,0.0010277426367191
active-31,9,8,python,0.0010277244875939
active-32,0,8,python,
active-32,1,8,python,
active-32,2,8,python,0.0270118055004859
active-32,3,8,python,0.0238703927557146
active-32,4,8,python,0.0231414244434298
active-32,5,8,python,0.0237235960839269
active-32,6,8,python,0.0226371150672368
active-32,7,8,python,
active-32,8,8,python,0.0238141934707491
active-32,9,8,python,0.0243334651141992
active-33,0,8,python,
active-33,1,8,python,0.0271356350986163
active-33,2,8,python,0.0244998265901048
active-33,3,8,python,0.0253133243879996
active-33,4,8,python,0.0262836696782132
active-33,5,8,python,
active-33,6,8,python,0.0225382234887941
active-33,7,8,python,0.023615037691136
active-33,8,8,python,0.0225707737177118
active-33,9,8,python,0.0228115542735928
active-34,0,8,python,
active-34,1,8,python,0.0007936690747652
active-34,2,8,python,0.0007662917018727
active-34,3,8,python,0.0011765489140903
active-34,4,8,python,0.0008171669759464
active-34,5,8,python,0.0008981850546115
active-34,6,8,python,0.000912809537187
active-34,7,8,python,0.0008105574098495
active-34,8,8,python,0.0012333925020513
active-34,9,8,python,0.0009297294672999
active-35,0,8,python,
active-35,1,8,python,0.0254873092370325
active-35,2,8,python,0.025646218671387
active-35,3,8,python,0.0252224054319195
active-35,4,8,python,0.0252543178384351
active-35,5,8,python,0.0258998571103349
active-35,6,8,python,0.024841352239254
active-35,7,8,python,0.0238948784014594
active-35,8,8,python,
active-35,9,8,python,0.024569507862289
active-36,0,8,python,
active-36,1,8,python,0.00071051599536
active-36,2,8,python,0.0007662792245671
active-36,3,8,python,0.0013726896899854
active-36,4,8,python,0.000916488377811
active-36,5,8,python,0.0007013959024357
active-36,6,8,python,0.001012161623227
active-36,7,8,python,0.0016145996773166
active-36,8,8,python,0.0015432887765588
active-36,9,8,python,0.0009355622710329
active-37,0,8,python,
active-37,1,8,python,
